HIJOS;ACTIVIDAD_ECONOMICA;GRADO_APROBADO;HORAS_SEM_TRABAJA;GANANCIA_NETA;MUNICIPIO_NACIMIENTO;NIVEL_EDUCATIVO;ESTRATO_TARIFA;DEPARTAMENTO;SACTISFACCION_INGRESO;SACTISFACCION_SALUD;SACTISFACCION_TRABAJO;ESCALON_VIDA;MATERIAL_PISOS;MATERIAL_TECHO;ESTADO_CIVIL;NIVEL_EDUCACION_PADRE;NIVEL_EDUCACION_MADRE;EDAD
0;4731;11;48;;52683;5;2;52;10;10;10;10;4;1;6;4;2;61
0;3830;10;60;300000;;5;3;52;5;0;10;7;4;1;3;3;3;60
0;8530;1;30;;52036;13;3;52;6;6;7;5;4;1;4;2;2;62
0;4520;5;36;700000;;3;3;52;10;5;10;8;4;2;3;1;1;70
1;5611;11;48;400000;;5;3;52;99;8;4;6;4;1;6;9;9;65
1;8610;3;42;;86885;7;2;52;9;9;8;7;4;1;3;2;1;49
1;9523;6;40;500000;;4;2;52;5;5;4;5;6;2;2;3;2;53
0;9007;2;5;500000;;7;3;52;5;8;8;10;4;1;4;1;2;55
0;8610;1;60;;52287;7;3;52;6;6;10;5;4;1;5;2;2;21
2;9524;4;63;;;3;3;52;7;7;7;6;4;1;2;1;1;38
3;8121;5;24;240000;19256;3;1;19;5;4;6;6;6;3;6;10;1;47
2;5611;11;5;200000;;5;1;19;0;5;0;0;6;3;5;10;1;45
2;9700;2;8;;52693;3;1;19;2;2;2;4;6;3;3;1;1;56
2;8530;1;48;;19100;7;1;19;5;4;5;7;4;3;4;10;1;53
0;3830;7;8;150000;;4;1;19;5;5;0;1;4;3;6;10;10;59
2;5619;5;48;600000;52786;3;1;19;8;8;8;10;4;3;6;10;10;47
1;4711;2;90;300000;19050;3;1;19;6;6;8;8;6;3;6;1;1;38
2;4111;8;8;1000000;19075;4;1;19;6;6;5;4;6;3;6;10;10;53
1;5611;5;36;650000;19256;3;1;19;3;8;7;8;6;3;2;1;1;35
1;4921;11;28;300000;19397;5;1;19;5;7;5;7;6;3;4;1;1;45
1;9700;3;7;0;19397;3;1;19;5;9;4;6;7;3;4;1;1;35
2;4921;5;21;240000;19100;3;1;19;8;7;7;5;6;3;4;10;10;37
2;4799;8;48;150000;;4;1;19;9;8;8;5;6;3;4;10;9;51
0;4721;2;20;320000;19807;3;1;19;5;3;6;5;4;1;6;1;10;59
2;9700;2;60;400000;19256;3;1;19;8;8;8;5;6;1;4;10;10;49
